admit,gre,gpa,rank
0,456,5.571,3
1,792,5.637,3
1,960,6,1
1,768,5.109,4
0,624,4.823,4
1,912,4.9,2
1,672,4.878,1
0,480,4.988,2
1,648,5.329,3
0,840,5.912,2
0,960,6,4
0,528,5.142,1
1,912,6,1
0,840,4.988,2
1,840,6,1
0,576,5.384,3
0,936,5.857,4
0,432,4.416,3
0,960,5.725,2
1,648,5.791,1
0,600,5.087,3
1,792,5.593,2
0,720,4.702,4
0,816,5.109,4
1,912,5.285,2
1,960,5.626,1
1,744,5.571,1
1,624,5.714,4
1,936,5.142,2
0,624,5.219,1
0,648,5.758,4
0,912,5.285,3
0,720,5.34,3
1,960,6,3
0,432,5.054,1
0,480,4.955,2
0,696,5.175,1
0,624,4.79,3
1,600,5.043,2
1,624,4.548,3
0,672,4.262,2
1,696,5.252,2
1,720,5.065,2
0,600,5.241,3
0,840,4.834,2
1,552,5.395,3
1,696,5.406,2
0,600,4.867,4
0,528,4.328,4
0,480,5.285,3
0,768,5.846,3
0,528,5.043,4
0,888,5.307,4
1,816,5.197,2
0,792,5.274,3
1,888,6,3
0,672,5.109,3
0,456,4.834,3
0,480,5.615,2
0,720,4.702,4
1,744,5.098,2
0,672,5.252,4
0,768,5.637,3
1,816,5.835,3
0,696,6,3
0,720,5.549,2
0,888,5.582,4
0,744,5.23,1
0,696,5.659,1
0,960,5.703,1
0,768,6,3
0,360,4.812,4
0,576,5.329,4
0,696,6,2
0,864,5.395,4
0,864,6,3
0,672,5.296,3
1,960,6,3
0,648,5.032,1
1,744,6,1
0,840,4.79,4
0,744,4.977,2
0,600,4.581,2
0,456,4.801,4
1,600,5.56,3
0,624,4.878,2
0,720,5.252,2
0,720,5.428,2
0,840,5.208,1
1,792,6,2
0,840,5.813,2
1,864,5.604,1
0,960,5.89,2
0,696,4.823,2
1,792,5.384,2
0,792,5.263,2
0,768,5.472,4
0,576,5.527,2
0,840,4.768,2
0,480,5.241,3
0,408,5.065,3
0,696,5.527,3
0,456,5.263,4
0,648,5.934,3
1,792,5.945,2
1,888,4.867,2
1,840,5.516,1
0,576,5.043,2
0,480,4.823,3
0,576,5.395,2
0,816,4.988,4
0,504,5.351,4
0,432,4.9,3
0,720,5.142,1
0,864,5.824,3
0,744,5.989,3
1,528,5.395,2
0,840,5.692,2
1,960,5.67,1
0,408,4.812,3
